classifier,PCA,accuracy,precision,recall,f1 score,duration,samples,tp,tn,fp,fn
DecisionTreeClassifier,91,0.998362267,0.958083832,0.952380952,0.955223881,0.002864583,45793,,,,
DecisionTreeClassifier,91,0.985522234,0.982795699,0.987041037,0.984913793,0.000520833,4832,,,,
LogisticRegression,91,0.955126105,0.286467487,0.970238095,0.442333786,0.00390625,45793,,,,
LogisticRegression,91,0.97311272,0.988814318,0.954643629,0.971428571,0.00078125,4832,,,,
Perceptron,91,0.983622666,0.551724138,0.571428571,0.561403509,0.0015625,45793,,,,
Perceptron,91,0.904860393,0.867326733,0.94600432,0.904958678,0,4832,,,,
RandomForestClassifier,91,0.998580631,0.993630573,0.928571429,0.96,0.024479167,45793,,,,
RandomForestClassifier,91,0.994829369,0.995670996,0.993520518,0.994594595,0.003125,4832,,,,
GaussianNB,91,0.975215635,0.390334572,0.625,0.480549199,0.004166667,45793,,,,
GaussianNB,91,0.918304033,0.989795918,0.838012959,0.907602339,0.000260417,4832,,,,
AdaBoostClassifier,91,0.999454089,1,0.970238095,0.98489426,0.125260417,45793,,,,
AdaBoostClassifier,91,0.990692865,0.993478261,0.987041037,0.990249187,0.0140625,4832,,,,
MLPClassifier,91,0.995305164,0.861271676,0.886904762,0.873900293,6.29765625,45793,,,,
MLPClassifier,91,0.982419855,0.986899563,0.976241901,0.981541802,0.734375,4832,,,,
gradient_boosti,91,0.998798996,0.993710692,0.94047619,0.966360856,0.854427083,45793,,,,
gradient_boosti,91,0.991726991,0.995642702,0.987041037,0.99132321,0.160416667,4832,,,,
DecisionTreeClassifier,91,0.998253084,0.942857143,0.942857143,0.942857143,0.002864583,45793,,,,
DecisionTreeClassifier,91,0.988624612,0.982608696,0.993406593,0.987978142,0.000260417,4832,,,,
LogisticRegression,91,0.96124031,0.276507277,0.95,0.428341385,0.003385417,45793,,,,
LogisticRegression,91,0.979317477,0.9844098,0.971428571,0.977876106,0.00078125,4832,,,,
Perceptron,91,0.985369582,0.52,0.557142857,0.537931034,0.001822917,45793,,,,
Perceptron,91,0.788004137,0.693498452,0.984615385,0.813805631,0,4832,,,,
RandomForestClassifier,91,0.998471449,0.984615385,0.914285714,0.948148148,0.02578125,45793,,,,
RandomForestClassifier,91,0.995863495,0.997792494,0.993406593,0.995594714,0.003385417,4832,,,,
GaussianNB,91,0.977180915,0.375451264,0.742857143,0.498800959,0.004166667,45793,,,,
GaussianNB,91,0.934850052,0.992462312,0.868131868,0.926143025,0,4832,,,,
AdaBoostClassifier,91,0.998908178,0.992424242,0.935714286,0.963235294,0.123697917,45793,,,,
AdaBoostClassifier,91,0.992761117,0.995575221,0.989010989,0.992282249,0.013541667,4832,,,,
MLPClassifier,91,0.991702151,0.762295082,0.664285714,0.709923664,5.743489583,45793,,,,
MLPClassifier,91,0.987590486,0.984682713,0.989010989,0.986842105,0.751822917,4832,,,,
gradient_boosti,91,0.998689813,0.963768116,0.95,0.956834532,0.91015625,45793,,,,
gradient_boosti,91,0.996897622,1,0.993406593,0.996692393,0.155208333,4832,,,,
DecisionTreeClassifier,91,0.998689813,0.952380952,0.965517241,0.95890411,0.002604167,45793,,,,
DecisionTreeClassifier,91,0.992761117,0.988662132,0.99543379,0.992036405,0.000520833,4832,,,,
LogisticRegression,91,0.961131128,0.278825996,0.917241379,0.427652733,0.003385417,45793,,,,
LogisticRegression,91,0.970010341,0.983451537,0.949771689,0.966318235,0.00078125,4832,,,,
Perceptron,91,0.985587946,0.632653061,0.213793103,0.319587629,0.001822917,45793,,,,
Perceptron,91,0.907962771,0.849699399,0.96803653,0.905016009,0.000260417,4832,,,,
RandomForestClassifier,91,0.999344907,0.992907801,0.965517241,0.979020979,0.02421875,45793,,,,
RandomForestClassifier,91,0.996897622,1,0.993150685,0.996563574,0.003125,4832,,,,
GaussianNB,91,0.97401463,0.323193916,0.586206897,0.416666667,0.004427083,45793,,,,
GaussianNB,91,0.938986556,0.994778068,0.869863014,0.928136419,0.000260417,4832,,,,
AdaBoostClassifier,91,0.99901736,0.978873239,0.95862069,0.968641115,0.12265625,45793,,,,
AdaBoostClassifier,91,0.990692865,0.988610478,0.99086758,0.989737742,0.013802083,4832,,,,
MLPClassifier,91,0.99213888,0.828828829,0.634482759,0.71875,5.4953125,45793,,,,
MLPClassifier,91,0.984488108,0.988452656,0.97716895,0.982778416,0.705989583,4832,,,,
gradient_boosti,91,0.998908178,0.978723404,0.951724138,0.965034965,0.876041667,45793,,,,
gradient_boosti,91,0.994829369,0.997701149,0.99086758,0.994272623,0.161458333,4832,,,,
DecisionTreeClassifier,91,0.997816355,0.931506849,0.931506849,0.931506849,0.00234375,45793,,,,
DecisionTreeClassifier,91,0.990692865,0.991150442,0.988962472,0.990055249,0.000520833,4832,,,,
LogisticRegression,91,0.959384212,0.273092369,0.931506849,0.422360248,0.004427083,45793,,,,
LogisticRegression,91,0.980351603,0.990950226,0.966887417,0.97877095,0.00078125,4832,,,,
Perceptron,91,0.982421662,0.463054187,0.643835616,0.538681948,0.0015625,45793,,,,
Perceptron,91,0.896587384,0.940149626,0.832229581,0.882903981,0,4832,,,,
RandomForestClassifier,91,0.998798996,1,0.924657534,0.960854093,0.025,45793,,,,
RandomForestClassifier,91,0.994829369,1,0.988962472,0.99445061,0.003125,4832,,,,
GaussianNB,91,0.973687084,0.31372549,0.547945205,0.399002494,0.00390625,45793,,,,
GaussianNB,91,0.921406412,0.992167102,0.838852097,0.909090909,0,4832,,,,
AdaBoostClassifier,91,0.998362267,0.971223022,0.924657534,0.947368421,0.126302083,45793,,,,
AdaBoostClassifier,91,0.988624612,0.988938053,0.986754967,0.987845304,0.013802083,4832,,,,
MLPClassifier,91,0.994322524,0.861538462,0.767123288,0.811594203,4.83046875,45793,,,,
MLPClassifier,91,0.991726991,0.989010989,0.993377483,0.991189427,0.7421875,4832,,,,
gradient_boosti,91,0.998689813,0.985507246,0.931506849,0.957746479,0.887239583,45793,,,,
gradient_boosti,91,0.993795243,0.997772829,0.988962472,0.993348115,0.15546875,4832,,,,
DecisionTreeClassifier,91,0.998471449,0.961111111,0.961111111,0.961111111,0.002864583,45793,,,,
DecisionTreeClassifier,91,0.985522234,0.984716157,0.984716157,0.984716157,0.000520833,4832,,,,
LogisticRegression,91,0.959384212,0.318867925,0.938888889,0.476056338,0.005989583,45793,,,,
LogisticRegression,91,0.978283351,0.984478936,0.969432314,0.97689769,0.00078125,4832,,,,
Perceptron,91,0.984386942,0.813559322,0.266666667,0.40167364,0.0015625,45793,,,,
Perceptron,91,0.920372285,0.928089888,0.901746725,0.914728682,0,4832,,,,
RandomForestClassifier,91,0.999126542,0.994252874,0.961111111,0.97740113,0.025,45793,,,,
RandomForestClassifier,91,0.993795243,1,0.986899563,0.993406593,0.003385417,4832,,,,
GaussianNB,91,0.973250355,0.381818182,0.583333333,0.461538462,0.004427083,45793,,,,
GaussianNB,91,0.935884178,0.992537313,0.871179039,0.927906977,0,4832,,,,
AdaBoostClassifier,91,0.998908178,0.97752809,0.966666667,0.972067039,0.123697917,45793,,,,
AdaBoostClassifier,91,0.987590486,0.993362832,0.980349345,0.986813187,0.0140625,4832,,,,
MLPClassifier,91,0.994213342,0.875739645,0.822222222,0.848137536,5.4421875,45793,,,,
MLPClassifier,91,0.989658738,0.989082969,0.989082969,0.989082969,1.780208333,4832,,,,
gradient_boosti,91,0.998689813,0.982758621,0.95,0.966101695,1.854947917,45793,,,,
gradient_boosti,91,0.991726991,0.997787611,0.984716157,0.991208791,0.105989583,4832,,,,
DecisionTreeClassifier,91,0.998362267,0.966101695,0.95,0.957983193,0.01015625,45793,,,,
DecisionTreeClassifier,91,0.985522234,0.982608696,0.986899563,0.984749455,0.000520833,4832,,,,
LogisticRegression,91,0.959384212,0.318867925,0.938888889,0.476056338,0.01171875,45793,,,,
LogisticRegression,91,0.978283351,0.984478936,0.969432314,0.97689769,0.001041667,4832,,,,
Perceptron,91,0.984386942,0.813559322,0.266666667,0.40167364,0.002604167,45793,,,,
Perceptron,91,0.920372285,0.928089888,0.901746725,0.914728682,0.000260417,4832,,,,
RandomForestClassifier,91,0.99901736,0.994219653,0.955555556,0.974504249,0.040364583,45793,,,,
RandomForestClassifier,91,0.992761117,0.997792494,0.986899563,0.992316136,0.005208333,4832,,,,
GaussianNB,91,0.973250355,0.381818182,0.583333333,0.461538462,0.006770833,45793,,,,
GaussianNB,91,0.935884178,0.992537313,0.871179039,0.927906977,0.000260417,4832,,,,
AdaBoostClassifier,91,0.998908178,0.97752809,0.966666667,0.972067039,0.211979167,45793,,,,
AdaBoostClassifier,91,0.987590486,0.993362832,0.980349345,0.986813187,0.0234375,4832,,,,
MLPClassifier,91,0.989846053,0.784313725,0.666666667,0.720720721,4.341666667,45793,,,,
MLPClassifier,91,0.98655636,0.989010989,0.982532751,0.985761227,3.424479167,4832,,,,
gradient_boosti,91,0.998908178,0.988505747,0.955555556,0.971751412,3.4875,45793,,,,
gradient_boosti,91,0.991726991,0.997787611,0.984716157,0.991208791,0.103385417,4832,,,,
DecisionTreeClassifier,91,0.998362267,0.966101695,0.95,0.957983193,0.008854167,45793,,,,
DecisionTreeClassifier,91,0.987590486,0.986899563,0.986899563,0.986899563,0.000520833,4832,,,,
LogisticRegression,91,0.959384212,0.318867925,0.938888889,0.476056338,0.006510417,45793,,,,
LogisticRegression,91,0.978283351,0.984478936,0.969432314,0.97689769,0.002604167,4832,,,,
Perceptron,91,0.984386942,0.813559322,0.266666667,0.40167364,0.00390625,45793,,,,
Perceptron,91,0.920372285,0.928089888,0.901746725,0.914728682,0,4832,,,,
RandomForestClassifier,91,0.99901736,0.994219653,0.955555556,0.974504249,0.038802083,45793,,,,
RandomForestClassifier,91,0.993795243,0.997797357,0.989082969,0.993421053,0.005208333,4832,,,,
GaussianNB,91,0.973250355,0.381818182,0.583333333,0.461538462,0.006510417,45793,,,,
GaussianNB,91,0.935884178,0.992537313,0.871179039,0.927906977,0,4832,,,,
AdaBoostClassifier,91,0.998908178,0.97752809,0.966666667,0.972067039,0.209895833,45793,,,,
